Team,Player,Position,DraftRound,YearsKept
The Phenomenal Smiths,Lucas Giolito,SP,0,0
The Phenomenal Smiths,Yusei Kikuchi,SP,9,0
The Phenomenal Smiths,Brandon Woodruff,SP,10,0
The Phenomenal Smiths,Framber Valdez,SP,4,0
The Phenomenal Smiths,Lucas Erceg,RP,8,0
The Phenomenal Smiths,Willson Contreras,"C,1B",5,0
The Phenomenal Smiths,Bo Bichette,SS,6,0
The Phenomenal Smiths,Jacob Lopez,SP,0,0
The Funeral Home,Logan O'Hoppe,C,13,0
The Funeral Home,Christian Walker,1B,10,3
The Funeral Home,Luis Arraez,"1B,2B",6,0
The Funeral Home,Matt Chapman,3B,12,1
The Funeral Home,Casey Schmitt,"1B,2B,3B,SS",0,0
The Funeral Home,Christian Yelich,OF,3,0
The Funeral Home,Sal Frelick,OF,25,0
The Funeral Home,Mookie Betts,"2B,SS,OF",1,0
The Funeral Home,Gabriel Moreno,C,19,0
The Funeral Home,Masataka Yoshida,OF,16,0
The Funeral Home,Joc Pederson,OF,20,0
The Funeral Home,Lourdes Gurriel Jr.,OF,17,0
The Funeral Home,Alec Burleson,"1B,OF",22,0
The Funeral Home,Wilyer Abreu,OF,21,0
The Funeral Home,José Berríos,SP,14,2
The Funeral Home,Michael Wacha,SP,0,0
The Funeral Home,Kyle Finnegan,RP,8,1
The Funeral Home,Nick Martinez,"SP,RP",0,0
The Funeral Home,Kyle Leahy,RP,0,0
The Funeral Home,Shota Imanaga,SP,4,0
The Funeral Home,Carlos Estévez,RP,7,0
The Funeral Home,Aaron Nola,SP,5,0
The Funeral Home,Mitch Keller,SP,15,2
The Funeral Home,AJ Smith-Shawver,SP,0,0
The Funeral Home,Jorge López,RP,0,0
The Funeral Home,Tommy Edman,"2B,3B,SS,OF",18,1
The Funeral Home,Zack Wheeler,SP,2,0
The Funeral Home,Liam Hendriks,RP,9,0
The Nudes,Alejandro Kirk,C,0,0
The Nudes,Vinnie Pasquantino,1B,5,0
The Nudes,Bryson Stott,"2B,SS",15,2
The Nudes,Alec Bohm,"1B,3B",6,0
The Nudes,Trea Turner,SS,2,0
The Nudes,Jackson Chourio,OF,14,2
The Nudes,Michael Harris II,OF,12,3
The Nudes,Kevin McGonigle,"2B,SS",0,0
The Nudes,Dylan Beavers,OF,0,0
The Nudes,Daulton Varsho,OF,20,0
The Nudes,Xander Bogaerts,"2B,SS",8,0
The Nudes,Spencer Torkelson,1B,0,0
The Nudes,William Contreras,C,11,3
The Nudes,Chandler Simpson,OF,0,0
The Nudes,Harrison Bader,OF,0,0
The Nudes,Jackson Holliday,"2B,SS",9,0
The Nudes,Garrett Crochet,SP,16,1
The Nudes,Cristopher Sánchez,SP,7,0
The Nudes,Edwin Uceta,RP,21,0
The Nudes,Jose A. Ferrer,RP,0,0
The Nudes,Phil Maton,RP,0,0
The Nudes,Ranger Suárez,SP,14,1
The Nudes,Trevor Rogers,SP,0,0
The Nudes,Jack Leiter,SP,24,0
The Nudes,Bryan Woo,SP,12,1
The Nudes,Kris Bubic,"SP,RP",25,0
Topline Jobbers,Agustín Ramírez,"C,1B",0,0
Topline Jobbers,Nathaniel Lowe,1B,12,0
Topline Jobbers,Jorge Polanco,"2B,3B",0,0
Topline Jobbers,Junior Caminero,3B,4,0
Topline Jobbers,Willy Adames,SS,5,0
Topline Jobbers,Heliot Ramos,OF,16,0
Topline Jobbers,Wyatt Langford,OF,3,0
Topline Jobbers,Aaron Judge,OF,1,0
Topline Jobbers,Pete Alonso,1B,2,0
Topline Jobbers,Xavier Edwards,"2B,SS",17,0
Topline Jobbers,Victor Scott II,OF,0,0
Topline Jobbers,Matt Shaw,"2B,3B,SS",8,0
Topline Jobbers,Zac Gallen,SP,6,0
Topline Jobbers,Casey Mize,SP,0,0
Topline Jobbers,Pete Fairbanks,RP,10,3
Topline Jobbers,Jeff Hoffman,RP,18,0
Topline Jobbers,Andrew Abbott,SP,0,0
Topline Jobbers,Joe Boyle,SP,0,0
Topline Jobbers,Slade Cecconi,"SP,RP",0,0
Topline Jobbers,Matthew Liberatore,"SP,RP",0,0
Topline Jobbers,Jeffrey Springs,SP,16,0
Topline Jobbers,Bailey Ober,SP,14,2
Topline Jobbers,Zach Eflin,SP,8,0
Topline Jobbers,Kumar Rocker,SP,0,0
Topline Jobbers,Dean Kremer,SP,0,0
Topline Jobbers,Anthony Santander,OF,9,3
Topline Jobbers,Brandon Walter,"SP,RP",0,0
Topline Jobbers,Bryce Miller,SP,7,0
