Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Daison Acosta","SDP",1,1,0,4.43697,18,0,0,1,,18,80,16,10,9,2,10,,1,18,8.9785,4.79092,1.87407,1.24032,0.225671,0.120418,0.10525328665971756,0.23716,1.44153,0.285881,0.728863,,,4.69225,-0.0256703,-0.0414848,999,,,,,,,74.00000000000003,4.1111111111111125,71,3.9444444444444446,,,,,,,,,,,,,,,,,,,"Daison Acosta","sa944989",670897
"Domingo Gonzalez","SEA",1,1,0,4.30778,18,0,0,1,,18,78,17,9,9,2,8,,1,16,8.11465,3.91844,2.07089,1.13513,0.206921,0.099919,0.10700216889381409,0.240391,1.35958,0.283325,0.715023,,,4.50984,-0.0260984,-0.0285126,999,,,,,,,73.40000000000002,4.077777777777779,73,4.055555555555555,,,,,,,,,,,,,,,,,,,"Domingo Gonzalez","sa3007495",682445
"Andrew Hoffmann","ARI",3,2,0,4.11669,43,0,0,1,,43,187,43,21,20,5,16,,2,38,7.98003,3.38226,2.35938,1.11215,0.204201,0.0865487,0.11765220016241074,0.252732,1.36803,0.297918,0.730193,,,4.21674,-0.0262462,0.0213308,999,,,,,,,170.89999999999998,3.9744186046511625,176,4.093023255813954,,,,,,,,,,,,,,,,,,,"Andrew Hoffmann","29633",694851
"Josh Ekness","MIA",1,1,0,4.59098,22,0,0,1,,22,98,21,12,11,3,10,,3,19,7.93959,4.21151,1.88521,1.06524,0.197384,0.104701,0.09268258512020111,0.247513,1.42979,0.292319,0.697694,,,4.65944,-0.026469,-0.0256591,999,,,,,,,74.30000000000001,3.377272727272728,74,3.3636363636363638,,,,,,,,,,,,,,,,,,,"Josh Ekness","sa3023204",694795
"Alex Hoppe","SEA",1,1,0,4.22458,22,0,0,1,,22,97,21,11,10,3,10,,1,20,7.98709,4.15094,1.92416,1.09817,0.202261,0.105116,0.09714484214782715,0.248266,1.42699,0.292909,0.732287,,,4.43924,-0.0265277,-0.0349457,999,,,,,,,82.30000000000001,3.7409090909090916,82,3.727272727272727,,,,,,,,,,,,,,,,,,,"Alex Hoppe","sa3020836",695380
"Reiver Sanmartin","SFG",3,3,0,4.04136,44,0,0,1,,44,191,46,21,20,4,14,,2,32,6.46005,2.92502,2.20855,0.90769,0.165181,0.0747915,0.09038905799388885,0.265493,1.37994,0.302416,0.719707,,,4.12654,-0.0265984,0.00272229,999,,,,,,,176.80000000000004,4.018181818181819,188,4.2727272727272725,,,,,,,,,,,,,,,,,,,"Reiver Sanmartin","19754",665665
"Carter Baumler","TEX",2,3,0,4.62458,52,0,0,7,,52,228,50,29,27,6,24,,2,45,7.7533,4.20965,1.84179,1.12199,0.196284,0.106573,0.08971167355775833,0.246994,1.4278,0.287984,0.692925,,,4.53865,-0.0273824,-0.122418,999,,,,,,,221,4.25,222,4.269230769230769,,,,,,,,,,,,,,,,,,,"Carter Baumler","sa3014480",691945
"Alexis Díaz","TEX",3,4,0,4.7922,58,0,2,11,,58,253,49,33,31,7,31,,6,57,8.86798,4.85763,1.82558,1.11,0.225514,0.12353,0.10198387503623962,0.226179,1.38174,0.274925,0.672252,,,4.70743,-0.0282734,-0.30103,999,,,,,,,272.70000000000005,4.701724137931035,256,4.413793103448276,,,,,,,,,,,,,,,,,,,"Alexis Diaz","21132",664747
"Victor Mederos","LAA",1,2,0,4.83778,24,0,0,1,,24,107,25,14,13,3,10,,2,18,6.90861,3.56375,1.93858,1.27892,0.172743,0.089108,0.08363477140665054,0.262986,1.43484,0.294935,0.690905,,,4.92757,-0.0283807,-0.0636924,999,,,,,,,79.70000000000002,3.320833333333334,85,3.5416666666666665,,,,,,,,,,,,,,,,,,,"Victor Mederos","31533",682989
"Génesis Cabrera","PHI",1,1,0,4.67873,24,0,0,1,,24,104,23,13,12,4,11,,1,22,8.24968,3.96191,2.08225,1.41788,0.211144,0.101402,0.10974203050136566,0.250395,1.40443,0.290525,0.716116,,,4.82129,-0.0293934,-0.0219435,999,,,,,,,80.60000000000004,3.3583333333333347,80,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Genesis Cabrera","17490",650893
"Scott Blewett","STL",1,1,0,4.37183,24,0,0,1,,24,104,25,13,12,3,9,,1,18,6.60698,3.21329,2.05615,1.14295,0.168776,0.0820837,0.08669233322143555,0.261237,1.39104,0.292867,0.711538,,,4.49236,-0.0296871,-0.0397991,999,,,,,,,85.70000000000002,3.570833333333334,91,3.7916666666666665,,,,,,,,,,,,,,,,,,,"Scott Blewett","16427",656240
"Josh Simpson","MIA",3,3,0,4.33714,44,0,0,1,,44,194,41,23,21,5,23,,3,43,8.74919,4.68554,1.86728,1.019,0.220513,0.118094,0.10241974145174026,0.241303,1.44439,0.295506,0.719247,,,4.40343,-0.0297741,-0.0214278,999,,,,,,,169.50000000000003,3.852272727272728,167,3.7954545454545454,,,,,,,,,,,,,,,,,,,"Josh Simpson","25957",681006
"Kyle Bischoff","MIN",1,1,0,4.97083,12,0,0,1,,12,54,12,7,7,2,7,,1,10,7.75169,4.94576,1.56734,1.22004,0.190308,0.121421,0.06888728588819504,0.254124,1.53765,0.294853,0.698347,,,5.08716,-0.0304036,-0.033648,999,,,,,,,33.000000000000014,2.7500000000000013,34,2.8333333333333335,,,,,,,,,,,,,,,,,,,"Kyle Bischoff","sa3022176",680253
"Ty Adcock","SDP",2,2,0,4.28725,39,0,0,1,,39,168,38,20,19,6,15,,1,36,8.23859,3.47799,2.36878,1.27639,0.212193,0.0895793,0.12261401116847992,0.247076,1.34875,0.289152,0.731083,,,4.40562,-0.0305336,-0.0372434,999,,,,,,,144,3.6923076923076925,145,3.717948717948718,,,,,,,,,,,,,,,,,,,"Ty Adcock","25651",686654
"Matt Pushard","STL",3,3,0,4.21674,52,0,0,7,,52,224,51,26,24,7,19,,2,45,7.72965,3.3684,2.29475,1.18333,0.199749,0.0870459,0.1127028539776802,0.250195,1.34661,0.290352,0.723901,,,4.36665,-0.0306604,-0.0194618,999,,,,,,,221.10000000000005,4.251923076923078,224,4.3076923076923075,,,,,,,,,,,,,,,,,,,"Matt Pushard","sa3019955",690155
"Cole Wilcox","SEA",2,2,0,4.25349,28,0,0,1,,28,121,28,14,13,3,10,,1,22,6.99943,3.22133,2.17284,1.04379,0.179667,0.0826874,0.09697911888360977,0.254573,1.35557,0.291441,0.708219,,,4.31664,-0.0313753,-0.0443146,999,,,,,,,112.50000000000001,4.017857142857143,116,4.142857142857143,,,,,,,,,,,,,,,,,,,"Cole Wilcox","27481",677961
"Seth Johnson","PHI",1,1,0,4.81027,20,0,0,1,,20,88,20,11,11,3,9,,1,18,7.96805,4.12941,1.92958,1.36569,0.200123,0.103713,0.09641022980213165,0.254987,1.46341,0.293814,0.710583,,,4.7898,-0.0315746,-0.0233373,999,,,,,,,69.1,3.4549999999999996,71,3.55,,,,,,,,,,,,,,,,,,,"Seth Johnson","26020",686751
"Paul Gervase","LAD",1,2,0,4.66184,28,0,0,1,,28,122,25,16,15,4,14,,2,30,9.50038,4.57309,2.07745,1.38581,0.241512,0.116254,0.12525835633277893,0.234185,1.39914,0.284002,0.708216,,,4.72373,-0.032192,-0.0601279,999,,,,,,,109.00000000000006,3.892857142857145,104,3.7142857142857144,,,,,,,,,,,,,,,,,,,"Paul Gervase","31571",801434
"Jairo Iriarte","CHW",1,2,0,4.84044,24,0,0,1,,24,108,23,14,13,3,12,,2,21,7.82921,4.6092,1.6986,1.1797,0.193571,0.113959,0.07961234450340271,0.250879,1.48896,0.292381,0.693923,,,4.90056,-0.0322128,-0.0675966,999,,,,,,,84.90000000000002,3.537500000000001,85,3.5416666666666665,,,,,,,,,,,,,,,,,,,"Jairo Iriarte","26907",683568
"Hunter Bigge","TBR",2,2,0,4.34256,46,0,0,4,,46,202,43,24,22,7,21,,2,46,8.98913,4.16034,2.16067,1.30225,0.227926,0.105489,0.12243780493736267,0.241752,1.40183,0.289781,0.740601,,,4.50534,-0.0322318,-0.0366947,999,,,,,,,181.50000000000006,3.945652173913045,178,3.869565217391304,,,,,,,,,,,,,,,,,,,"Hunter Bigge","26259",685801
"Eduarniel Núñez","ATH",3,3,0,4.53026,50,0,0,4,,50,224,46,27,25,6,30,,4,49,8.86235,5.35292,1.65561,1.08054,0.219625,0.132655,0.08697004616260529,0.239162,1.50689,0.292376,0.720298,,,4.7358,-0.0327899,-0.0470781,999,,,,,,,188.6,3.772,184,3.68,,,,,,,,,,,,,,,,,,,"Eduarniel Nunez","23162",674384
"Dylan Coleman","NYY",1,1,0,4.98494,12,0,0,1,,12,55,11,7,7,1,8,,1,12,8.80624,6.30477,1.39676,1.11492,0.213251,0.152675,0.06057542562484741,0.23384,1.58546,0.283764,0.697176,,,5.20067,-0.0328094,-0.0396769,999,,,,,,,48.90000000000001,4.075000000000001,48,4,,,,,,,,,,,,,,,,,,,"Dylan Coleman","22276",669395
"Rolddy Muñoz","ATL",1,1,0,4.4947,22,0,0,1,,22,98,22,12,11,3,11,,1,20,7.97778,4.41341,1.80762,1.0625,0.198516,0.109822,0.08869446814060211,0.251999,1.47675,0.298419,0.715976,,,4.55011,-0.0330053,-0.0284571,999,,,,,,,76.7,3.4863636363636363,79,3.590909090909091,,,,,,,,,,,,,,,,,,,"Rolddy Munoz","27407",691548
