Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Sawyer Gipson-Long","DET",1,2,1,4.06378,23,2,0,1,,30,124,29,14,13,4,8,,1,26,7.94387,2.34598,3.38616,1.20771,0.209614,0.0619031,0.14771071076393127,0.25125,1.24103,0.293291,0.71388,,,4.04097,0.155771,0.161241,999,,,,,,,126.4,4.213333333333334,127,4.233333333333333,,,,,,,,,,,,,,,,,,,"Sawyer Gipson-Long","26048",687830
"José Buttó","SFG",3,3,0,3.8893,64,0,2,13,,64,273,58,30,28,6,25,,3,59,8.25525,3.5814,2.30503,0.899013,0.215157,0.0933421,0.12181452661752701,0.238112,1.30631,0.288976,0.720904,,,3.94405,0.153883,0.383021,999,,,,,,,345,5.390625,338,5.28125,,,,,,,,,,,,,,,,,,,"Jose Butto","23313",676130
"Jordan Hicks","CHW",3,3,0,4.2027,54,0,0,9,,54,237,52,27,25,5,24,,4,50,8.35373,3.93134,2.12491,0.900507,0.211623,0.0995917,0.11203140765428543,0.246473,1.39114,0.30041,0.70687,,,4.12186,0.149901,0.0565169,999,,,,,,,254.90000000000003,4.720370370370371,257,4.7592592592592595,,,,,,,,,,,,,,,,,,,"Jordan Hicks","19618",663855
"Travis Adams","MIN",4,4,1,4.53867,53,3,0,4,,69,303,73,38,35,9,24,,2,54,6.98238,3.05514,2.28545,1.17158,0.178158,0.0779529,0.10020457208156586,0.262935,1.38583,0.298088,0.6995,,,4.40112,0.149099,-0.00367986,999,,,,,,,256.1,3.711594202898551,274,3.971014492753623,,,,,,,,,,,,,,,,,,,"Travis Adams","30180",701519
"Erik Sabrowski","CLE",3,3,0,3.93375,61,0,0,14,,61,265,49,29,27,7,36,,3,73,10.6994,5.27322,2.029,1.07163,0.273975,0.135029,0.1389455646276474,0.217906,1.39417,0.287004,0.74743,,,4.19529,0.148151,0.199278,999,,,,,,,322.9000000000001,5.293442622950821,299,4.901639344262295,,,,,,,,,,,,,,,,,,,"Erik Sabrowski","24978",681870
"Cade Povich","BAL",1,1,1,4.0662,17,2,0,1,,24,100,22,12,11,3,8,,1,23,8.95335,3.10968,2.87919,1.21002,0.233628,0.0811436,0.15248404443264008,0.24398,1.2934,0.29517,0.728366,,,4.01247,0.147768,0.156529,999,,,,,,,106.50000000000001,4.437500000000001,104,4.333333333333333,,,,,,,,,,,,,,,,,,,"Cade Povich","30055",700249
"A.J. Puk","ARI",3,2,0,3.32097,42,0,7,1,,42,174,35,17,15,5,14,,2,50,10.7535,2.99797,3.58692,1.0082,0.28769,0.0802052,0.20748483389616013,0.222921,1.17185,0.295936,0.758765,,,3.37375,0.144852,0.127882,999,,,,,,,249.3,5.935714285714286,236,5.619047619047619,,,,,,,,,,,,,,,,,,,"A.J. Puk","19343",640462
"Cooper Criswell","SEA",3,3,1,4.04863,37,3,0,1,,51,221,51,25,23,6,15,,4,42,7.392,2.69038,2.74756,1.06446,0.191373,0.0696518,0.12172085791826248,0.252817,1.29019,0.292825,0.714954,,,4.1428,0.144038,0.128223,999,,,,,,,202.00000000000003,3.960784313725491,208,4.078431372549019,,,,,,,,,,,,,,,,,,,"Cooper Criswell","24975",681867
"Eric Lauer","TOR",3,3,1,4.12114,50,2,0,4,,57,240,54,28,26,9,18,,2,53,8.3924,2.81315,2.98327,1.39333,0.220607,0.0739481,0.14665909856557846,0.244628,1.26255,0.284387,0.737029,,,4.3134,0.143813,0.137156,999,,,,,,,232.69999999999996,4.082456140350876,230,4.035087719298246,,,,,,,,,,,,,,,,,,,"Eric Lauer","19316",641778
"Brandon Williamson","CIN",3,4,2,4.87506,45,5,0,1,,65,284,66,38,35,10,27,,3,54,7.55665,3.69323,2.04608,1.42493,0.191174,0.0934343,0.09773965179920197,0.257021,1.42188,0.290439,0.6984,,,4.8833,0.140652,0.177101,999,,,,,,,208.4,3.206153846153846,217,3.3384615384615386,,,,,,,,,,,,,,,,,,,"Brandon Williamson","25463",682227
"Christian Scott","NYM",2,2,1,4.06293,32,2,0,1,,38,160,36,19,17,5,10,,2,36,8.48308,2.45646,3.45337,1.23271,0.224683,0.0650621,0.1596212536096573,0.242232,1.21057,0.286846,0.706657,,,4.00342,0.139377,0.0706921,999,,,,,,,166.1,4.371052631578947,165,4.342105263157895,,,,,,,,,,,,,,,,,,,"Christian Scott","30107",681035
"JR Ritchie","ATL",1,1,1,4.49389,3,3,0,0,,17,75,17,9,9,2,6,,1,14,7.54909,3.3631,2.24468,1.1754,0.19324,0.0860879,0.1071520745754242,0.255886,1.37314,0.295884,0.699539,,,4.45962,0.139091,0.1728,999,,,,,,,64.00000000000001,3.764705882352942,66,3.8823529411764706,,,,,,,,,,,,,,,,,,,"JR Ritchie","sa3020395",702275
"Kohl Drake","ARI",1,1,1,4.31973,3,3,0,0,,17,73,17,9,8,2,6,,1,15,7.92347,3.40181,2.32919,1.20585,0.202218,0.0868188,0.11539872735738754,0.253147,1.37314,0.295248,0.721962,,,4.38366,0.138685,0.17621,999,,,,,,,66.00000000000001,3.8823529411764715,68,4,,,,,,,,,,,,,,,,,,,"Kohl Drake","sa3021723",684442
"Kevin Kelly","TBR",3,3,0,3.8271,46,0,0,4,,46,192,43,21,20,5,11,,4,41,7.98349,2.17651,3.66802,1.0569,0.212432,0.0579145,0.1545170359313488,0.244996,1.18488,0.290224,0.709428,,,3.86714,0.136681,0.117325,999,,,,,,,220.10000000000002,4.784782608695653,218,4.739130434782608,,,,,,,,,,,,,,,,,,,"Kevin Kelly","25679",687330
"Chase Petty","CIN",2,3,1,5.09852,29,3,0,1,,42,187,44,26,24,6,18,,2,33,6.94292,3.82104,1.81702,1.33431,0.174482,0.0960261,0.07845543324947357,0.262092,1.46142,0.292651,0.677764,,,4.91529,0.130278,-0.0135689,999,,,,,,,132.6,3.157142857142857,142,3.380952380952381,,,,,,,,,,,,,,,,,,,"Chase Petty","30170",695534
"Brock Stewart","LAD",2,2,0,3.81021,44,0,0,1,,44,186,37,20,19,5,18,,2,51,10.4552,3.60495,2.90023,1.10762,0.274726,0.0947254,0.1800001934170723,0.223376,1.24396,0.289179,0.737784,,,3.77006,0.129494,0.0631611,999,,,,,,,213.90000000000003,4.861363636363637,201,4.568181818181818,,,,,,,,,,,,,,,,,,,"Brock Stewart","16727",592779
"Keaton Winn","SFG",2,1,1,3.94965,22,2,0,1,,28,121,28,13,12,3,8,,2,25,8.03654,2.66358,3.01719,0.978766,0.209026,0.0692782,0.1397475302219391,0.25164,1.28267,0.300731,0.715244,,,3.81543,0.129304,0.105915,999,,,,,,,121.50000000000004,4.339285714285716,125,4.464285714285714,,,,,,,,,,,,,,,,,,,"Keaton Winn","23499",676775
